timestamp,symbol,conid,last,bid,ask
2026-09-09T19:12:41.596747,CROX,37792836,N/A,N/A,N/A
2026-09-09T20:06:06.496868,CROX,37792836,N/A,N/A,N/A
2026-09-09T20:12:25.226196,CROX,37792836,112.17,112.11,112.21
2026-09-09T20:32:57.165199,CROX,37792836,112.62,112.42,112.62
2026-09-10T15:48:13.879222,CROX,37792836,N/A,N/A,N/A
2026-09-10T15:49:06.034216,CROX,37792836,110.00,109.51,110.28
2026-09-10T16:00:32.148254,CROX,37792836,109.74,109.72,110.09
2026-09-10T16:05:31.278810,CROX,37792836,110.01,109.83,110.19
2026-09-10T16:12:50.122394,CROX,37792836,110.05,109.69,110.08
2026-09-10T16:21:11.733859,CROX,37792836,109.75,109.66,109.73
2026-09-10T16:43:28.838981,CROX,37792836,N/A,N/A,N/A
2026-09-10T16:43:45.788506,CROX,37792836,110.34,110.33,110.61
2026-09-10T16:46:02.593421,CROX,37792836,110.33,110.03,110.49
2026-09-10T20:08:31.872340,CROX,37792836,N/A,N/A,N/A
2026-09-10T20:22:13.072815,CROX,37792836,109.22,109.13,109.30
